fecha,crecimiento_trimestral
2018-03-31,2.93
2018-06-30,2.66
2018-09-30,1.71
2018-12-31,4.17
2019-03-31,1.94
2019-06-30,0.53
2019-09-30,4.49
2019-12-31,-0.8
2020-03-31,0.75
2020-06-30,-29.89
2020-09-30,-17.02
2020-12-31,-3.48
2021-03-31,-4.51
2021-06-30,39.25
2021-09-30,12.5
2021-12-31,0.53
2022-03-31,6.21
2022-06-30,5.13
2022-09-30,3.12
2022-12-31,0.75
2023-03-31,0.27
2023-06-30,1.12
2023-09-30,2.99
2023-12-31,5.64
2024-03-31,-0.66
2024-06-30,0.97
2024-09-30,-1.68
2024-12-31,-3.09
2025-03-31,-2.07
2025-06-30,-2.82
2025-09-30,0.03
